week_number,day_of_week,hour_of_day,productivity_score
1,0,11,74.3
1,0,16,87.3
1,0,18,87.4
1,0,20,100.0
1,0,22,99.5
1,1,10,78.3
1,1,15,92.2
1,2,11,87.0
1,2,13,86.7
1,2,18,87.8
1,2,23,93.2
1,3,21,90.9
1,3,22,79.4
1,4,9,87.5
1,4,14,98.2
1,4,20,83.4
1,5,6,62.0
1,5,10,75.1
1,5,13,74.1
1,5,23,81.4
1,6,9,72.8
1,6,10,81.7
1,6,11,79.6
1,6,12,63.4
1,6,20,77.7
2,0,8,85.3
2,0,9,82.9
2,0,10,88.8
2,0,11,88.3
2,0,22,94.7
2,1,10,82.5
2,1,14,92.9
2,1,16,86.3
2,1,19,98.9
2,1,20,87.2
2,2,6,79.0
2,2,8,77.3
2,2,12,81.0
2,2,13,73.6
2,2,20,85.3
2,3,6,78.9
2,3,8,76.9
2,3,10,79.5
2,3,20,93.9
2,3,21,93.3
2,4,6,80.1
2,4,11,79.7
2,5,10,67.6
2,5,14,84.3
2,6,13,88.3
2,6,15,67.1
2,6,17,76.0
2,6,20,73.0
3,0,9,87.2
3,0,10,83.9
3,0,14,88.5
3,0,21,92.6
3,1,7,86.2
3,1,21,94.8
3,2,7,87.6
3,2,18,96.9
3,3,16,89.8
3,3,18,95.4
3,4,8,76.7
3,4,13,85.8
3,4,15,88.8
3,4,22,100.0
3,5,7,78.0
3,5,11,85.4
3,5,18,85.6
3,5,19,85.8
3,5,20,84.7
3,6,6,73.7
3,6,11,88.3
3,6,12,86.9
3,6,17,89.7
3,6,23,91.6
4,0,8,85.2
4,0,19,83.4
4,1,6,79.0
4,1,7,83.0
4,1,10,90.4
4,1,13,87.8
4,1,21,90.0
4,2,9,79.5
4,2,16,81.7
4,3,11,75.2
4,3,12,86.1
4,4,8,89.0
4,4,16,89.4
4,5,8,67.3
4,5,15,88.5
4,5,22,81.0
4,5,23,88.1
4,6,13,78.3
4,6,22,78.3
5,0,13,89.4
5,0,14,85.8
5,0,23,91.0
5,1,8,70.1
5,1,12,95.4
5,1,23,82.6
5,2,12,80.0
5,2,15,91.1
5,2,16,98.6
5,2,20,87.7
5,2,22,73.8
5,3,15,100.0
5,3,18,90.0
5,3,19,100.0
5,3,22,87.8
5,4,13,93.4
5,4,16,94.3
5,4,19,87.8
5,4,20,85.8
5,4,22,86.9
5,5,9,76.0
5,5,12,80.5
5,6,8,66.1
5,6,11,81.9
5,6,18,75.9
6,0,15,86.3
6,0,18,81.7
6,0,21,94.9
6,1,13,81.5
6,1,14,89.9
6,2,10,73.2
6,2,22,78.4
6,3,8,82.2
6,3,10,84.8
6,4,7,71.3
6,4,16,74.2
6,4,18,97.3
6,4,21,91.7
6,4,23,87.0
6,5,12,76.9
6,5,15,75.6
6,5,22,88.1
6,5,23,77.5
6,6,10,73.3
6,6,12,77.9
6,6,19,94.3
6,6,21,91.5
7,0,19,90.4
7,0,21,83.5
7,1,7,87.5
7,1,8,91.4
7,1,13,94.5
7,1,16,92.4
7,2,9,95.2
7,2,10,85.7
7,2,11,82.5
7,2,23,88.6
7,3,12,87.3
7,3,14,88.2
7,3,15,91.4
7,4,14,90.1
7,4,21,93.5
7,5,6,75.1
7,5,8,76.5
7,5,10,82.3
7,5,20,79.9
7,5,22,89.0
7,6,8,64.5
7,6,19,84.7
7,6,22,84.7
7,6,23,74.6
8,0,6,80.2
8,0,7,82.3
8,0,11,88.4
8,0,20,99.7
8,1,10,90.5
8,1,12,87.0
8,1,16,84.7
8,1,19,88.4
8,2,8,76.8
8,2,17,93.3
8,2,19,83.7
8,3,10,87.8
8,3,12,88.2
8,3,17,94.0
8,3,23,80.4
8,4,6,77.3
8,4,14,97.1
8,4,17,93.2
8,4,22,95.0
8,4,23,87.7
8,5,11,82.6
8,5,13,80.3
8,5,17,86.5
8,5,18,82.6
8,6,13,77.1
8,6,17,85.4
9,0,7,79.3
9,0,8,85.1
9,0,20,94.5
9,1,8,80.8
9,1,9,82.3
9,1,10,85.3
9,1,18,83.7
9,1,20,93.7
9,2,16,76.6
9,2,21,93.6
9,2,22,87.6
9,3,10,87.9
9,3,11,87.2
9,3,15,85.7
9,3,17,96.7
9,4,12,90.9
9,4,17,83.8
9,4,20,95.8
9,4,23,94.4
9,5,13,82.8
9,5,16,75.5
9,5,20,78.8
9,5,21,84.6
9,6,18,82.5
9,6,23,96.2
10,0,10,93.7
10,0,12,89.5
10,0,16,89.9
10,0,17,88.6
10,1,10,93.7
10,1,16,91.9
10,1,18,89.3
10,1,20,83.6
10,2,7,82.9
10,2,8,90.7
10,2,15,100.0
10,2,17,84.1
10,3,7,72.3
10,3,10,82.6
10,3,16,89.6
10,3,19,81.6
10,3,21,90.6
10,4,8,78.9
10,4,13,94.9
10,4,15,93.5
10,4,21,91.0
10,5,7,79.4
10,5,18,89.3
10,6,9,79.1
10,6,13,83.8
10,6,23,75.0
