attendance_rate,weekly_study_minutes,unstudied_high_priority_topics,terminal_exam_score,alert_state
0.846,655,2,75.2,NOMINAL
0.644,459,1,78.7,NOMINAL
0.913,346,8,57.1,CRITICAL RISK
0.941,619,1,92.6,NOMINAL
0.507,497,0,74.8,WARNING
0.605,696,8,54.5,CRITICAL RISK
0.819,452,4,71.9,WARNING
0.753,199,3,74.7,WARNING
0.797,173,6,66.7,WARNING
0.672,717,3,74.2,WARNING
0.932,730,1,90.3,NOMINAL
0.917,387,6,70.8,WARNING
0.81,351,1,73.7,WARNING
0.969,683,4,81.8,NOMINAL
0.87,220,8,54.3,CRITICAL RISK
0.671,258,8,49.7,CRITICAL RISK
0.855,535,3,72.7,WARNING
0.656,348,7,45.7,CRITICAL RISK
0.932,419,5,61.0,CRITICAL RISK
0.793,390,4,63.0,CRITICAL RISK
0.772,480,1,76.8,NOMINAL
0.698,673,3,72.5,WARNING
0.983,436,5,81.2,NOMINAL
0.777,535,8,62.7,CRITICAL RISK
0.736,50,0,67.5,WARNING
0.747,411,6,62.1,CRITICAL RISK
0.88,268,7,57.1,CRITICAL RISK
0.855,200,8,52.2,CRITICAL RISK
0.862,261,3,71.8,WARNING
0.865,359,1,82.3,NOMINAL
1.0,584,2,84.2,NOMINAL
0.739,181,7,57.0,CRITICAL RISK
0.723,425,7,51.6,CRITICAL RISK
0.678,332,5,59.7,CRITICAL RISK
0.892,361,1,92.2,NOMINAL
0.969,600,1,89.2,NOMINAL
0.783,516,4,76.8,NOMINAL
0.674,660,5,66.8,WARNING
0.676,392,0,79.5,NOMINAL
0.898,294,6,63.1,CRITICAL RISK
0.911,379,4,71.2,WARNING
0.881,463,0,82.0,NOMINAL
0.7,451,0,80.8,NOMINAL
0.835,224,4,62.3,CRITICAL RISK
0.818,436,6,66.5,WARNING
0.833,461,7,66.2,WARNING
0.931,873,3,87.8,NOMINAL
0.834,757,2,82.3,NOMINAL
0.902,266,8,58.5,CRITICAL RISK
0.81,368,4,66.8,WARNING
0.843,156,2,75.6,NOMINAL
0.895,313,3,65.0,WARNING
0.581,476,0,73.8,WARNING
0.752,637,2,69.2,WARNING
0.729,288,4,57.0,CRITICAL RISK
0.704,302,8,56.5,CRITICAL RISK
0.759,33,6,57.1,CRITICAL RISK
1.0,390,7,62.5,CRITICAL RISK
0.67,228,4,53.6,CRITICAL RISK
0.945,324,0,71.5,WARNING
0.548,262,3,57.6,CRITICAL RISK
0.75,403,8,64.9,CRITICAL RISK
0.824,103,0,78.0,NOMINAL
0.888,155,7,54.4,CRITICAL RISK
0.907,803,6,76.4,NOMINAL
0.919,188,2,67.7,WARNING
0.748,222,7,52.1,CRITICAL RISK
0.731,750,7,64.2,CRITICAL RISK
0.929,942,0,96.7,NOMINAL
0.771,209,0,79.9,NOMINAL
0.609,353,5,59.2,CRITICAL RISK
0.63,481,8,54.5,CRITICAL RISK
0.662,731,0,80.3,NOMINAL
0.875,242,5,68.7,WARNING
0.821,375,1,85.7,NOMINAL
0.904,559,5,67.9,WARNING
0.736,498,5,61.1,CRITICAL RISK
0.824,352,0,87.2,NOMINAL
0.894,395,6,64.5,CRITICAL RISK
0.754,172,8,55.7,CRITICAL RISK
0.869,377,7,58.9,CRITICAL RISK
0.701,372,0,83.8,NOMINAL
0.746,461,2,74.9,WARNING
0.743,320,2,72.4,WARNING
0.621,504,4,71.5,WARNING
0.873,602,1,83.3,NOMINAL
0.73,447,7,53.2,CRITICAL RISK
0.802,483,6,61.9,CRITICAL RISK
0.872,429,7,64.1,CRITICAL RISK
0.867,420,1,73.8,WARNING
0.9,290,0,85.4,NOMINAL
0.785,476,8,54.4,CRITICAL RISK
0.737,402,2,77.9,NOMINAL
0.788,796,5,62.4,CRITICAL RISK
0.547,703,8,49.6,CRITICAL RISK
0.583,489,0,68.0,WARNING
0.602,282,0,68.2,WARNING
0.65,219,0,73.4,WARNING
0.86,634,1,84.3,NOMINAL
0.664,467,0,76.8,NOMINAL
0.743,506,7,58.4,CRITICAL RISK
0.995,105,5,66.9,WARNING
0.747,586,8,53.2,CRITICAL RISK
0.911,501,7,68.1,WARNING
0.66,220,8,50.1,CRITICAL RISK
0.769,335,2,74.2,WARNING
0.657,467,2,73.8,WARNING
0.749,429,7,59.1,CRITICAL RISK
0.926,367,2,87.8,NOMINAL
0.541,401,0,71.9,WARNING
0.865,374,6,62.5,CRITICAL RISK
0.836,447,7,57.8,CRITICAL RISK
0.711,684,8,53.9,CRITICAL RISK
0.583,30,8,34.8,CRITICAL RISK
0.811,377,1,74.0,WARNING
0.721,451,6,60.1,CRITICAL RISK
0.835,473,7,63.2,CRITICAL RISK
0.803,353,6,61.5,CRITICAL RISK
1.0,103,7,56.3,CRITICAL RISK
0.764,479,7,63.4,CRITICAL RISK
0.646,730,4,73.4,WARNING
0.827,143,0,76.2,NOMINAL
0.833,575,4,70.4,WARNING
1.0,360,1,86.8,NOMINAL
0.925,408,1,83.5,NOMINAL
0.854,230,1,69.9,WARNING
1.0,359,6,68.0,WARNING
0.622,654,4,68.8,WARNING
0.704,524,4,63.7,CRITICAL RISK
0.661,731,6,65.0,WARNING
0.742,631,4,64.8,CRITICAL RISK
0.593,499,5,66.2,WARNING
0.895,733,0,97.2,NOMINAL
0.767,499,7,58.7,CRITICAL RISK
0.579,569,4,66.0,WARNING
0.648,366,1,61.2,CRITICAL RISK
0.847,431,7,56.0,CRITICAL RISK
0.926,294,6,63.0,CRITICAL RISK
1.0,598,0,87.6,NOMINAL
